id,fecha,hora,temp_out,hi_temp,low_temp,in_temp,in_hum_pct,out_hum_pct,rain,rain_rate,bar,wind_speed,hi_speed,hi_dir,wind_dir,temp_units,bar_units,wind_units,rain_units
1,2026-04-19,00:15:00,19.0,19.0,19.0,24.0,25.0,34.0,0.0,0.0,768.6,3.2,11.3,NNW,NW,C,mm,km/h,mm
2,2026-04-19,00:30:00,19.0,19.0,19.0,24.0,25.0,40.0,0.0,0.0,768.6,3.2,11.3,NNW,NW,C,mm,km/h,mm
3,2026-04-19,00:45:00,18.0,19.0,18.0,24.0,25.0,44.0,0.0,0.0,768.6,1.6,8.0,NNE,N,C,mm,km/h,mm
4,2026-04-19,01:00:00,18.0,18.0,18.0,24.0,26.0,47.0,0.0,0.0,768.6,3.2,9.7,NNW,NNW,C,mm,km/h,mm
5,2026-04-19,01:15:00,17.0,18.0,17.0,24.0,26.0,55.0,0.0,0.0,768.5,3.2,12.9,NNW,N,C,mm,km/h,mm
6,2026-04-19,01:30:00,17.0,17.0,17.0,24.0,27.0,61.0,0.0,0.0,768.5,3.2,14.5,NW,NW,C,mm,km/h,mm
7,2026-04-19,01:45:00,16.0,17.0,16.0,24.0,28.0,64.0,0.0,0.0,768.7,4.8,14.5,NNW,NW,C,mm,km/h,mm
8,2026-04-19,02:00:00,16.0,16.0,16.0,24.0,29.0,66.0,0.0,0.0,768.7,1.6,9.7,NNW,NNW,C,mm,km/h,mm
9,2026-04-19,02:15:00,16.0,16.0,16.0,24.0,29.0,66.0,0.0,0.0,768.9,1.6,9.7,NW,WNW,C,mm,km/h,mm
10,2026-04-19,02:30:00,15.0,16.0,15.0,24.0,30.0,68.0,0.0,0.0,769.0,0.0,4.8,NNW,NW,C,mm,km/h,mm
11,2026-04-19,02:45:00,15.0,15.0,15.0,24.0,31.0,69.0,0.0,0.0,769.1,1.6,6.4,NNW,N,C,mm,km/h,mm
12,2026-04-19,03:00:00,15.0,15.0,15.0,24.0,31.0,70.0,0.0,0.0,769.1,0.0,1.6,N,N,C,mm,km/h,mm
13,2026-04-19,03:15:00,15.0,15.0,15.0,24.0,32.0,71.0,0.0,0.0,769.2,0.0,1.6,N,N,C,mm,km/h,mm
14,2026-04-19,03:30:00,15.0,15.0,15.0,24.0,32.0,72.0,0.0,0.0,769.2,0.0,3.2,NNW,NE,C,mm,km/h,mm
15,2026-04-19,03:45:00,14.0,15.0,14.0,24.0,32.0,72.0,0.0,0.0,769.3,0.0,0.0,,,C,mm,km/h,mm
16,2026-04-19,04:00:00,15.0,15.0,14.0,24.0,33.0,72.0,0.0,0.0,769.4,0.0,1.6,N,NNE,C,mm,km/h,mm
17,2026-04-19,04:15:00,15.0,15.0,15.0,24.0,33.0,72.0,0.0,0.0,769.5,0.0,1.6,ENE,ENE,C,mm,km/h,mm
18,2026-04-19,04:30:00,15.0,15.0,15.0,24.0,33.0,71.0,0.0,0.0,769.5,0.0,3.2,NNW,NNW,C,mm,km/h,mm
19,2026-04-19,04:45:00,15.0,15.0,15.0,24.0,33.0,69.0,0.0,0.0,769.5,0.0,0.0,,,C,mm,km/h,mm
20,2026-04-19,05:00:00,15.0,15.0,15.0,24.0,34.0,71.0,0.0,0.0,769.4,0.0,0.0,,,C,mm,km/h,mm
21,2026-04-19,05:15:00,14.0,15.0,14.0,24.0,34.0,72.0,0.0,0.0,769.4,0.0,3.2,NNW,NNW,C,mm,km/h,mm
22,2026-04-19,05:30:00,14.0,14.0,14.0,24.0,34.0,73.0,0.0,0.0,769.5,0.0,3.2,NNE,NNW,C,mm,km/h,mm
23,2026-04-19,05:45:00,14.0,14.0,14.0,24.0,34.0,73.0,0.0,0.0,769.5,0.0,4.8,NNW,NW,C,mm,km/h,mm
24,2026-04-19,06:00:00,15.0,15.0,14.0,24.0,35.0,72.0,0.0,0.0,769.7,0.0,1.6,NNW,NNW,C,mm,km/h,mm
25,2026-04-19,06:15:00,15.0,15.0,15.0,24.0,35.0,71.0,0.0,0.0,769.8,0.0,6.4,NNW,N,C,mm,km/h,mm
26,2026-04-19,06:30:00,15.0,15.0,15.0,24.0,35.0,71.0,0.0,0.0,770.0,0.0,6.4,NNW,NW,C,mm,km/h,mm
27,2026-04-19,06:45:00,15.0,15.0,15.0,24.0,35.0,71.0,0.0,0.0,770.0,1.6,6.4,NW,NW,C,mm,km/h,mm
28,2026-04-19,07:00:00,15.0,15.0,15.0,24.0,35.0,70.0,0.0,0.0,770.0,1.6,8.0,NNW,WNW,C,mm,km/h,mm
29,2026-04-19,07:15:00,16.0,16.0,15.0,24.0,36.0,71.0,0.0,0.0,770.2,0.0,4.8,NNW,NW,C,mm,km/h,mm
30,2026-04-19,07:30:00,16.0,16.0,16.0,23.0,36.0,70.0,0.0,0.0,770.4,1.6,9.7,NW,NW,C,mm,km/h,mm
